product_id,model,name_en,name_ar
4884,8858854646088,"Moisturizing cream to moisturize and soften hands from Antalia Thailand 50 ml","كريم مرطب لترطيب وتنعيم اليدين  من انتاليا تايلاند 50 مل"
4885,6932511216868,"Disaar natural collagen beauty soap 100 grams","صابون الجمال بالكولاجين الطبيعي من ديسار  100 جرام"
4886,8027881703600,"A3 skin whitening soap with triple action, 100 g","صابون اى ثري  مبيض للبشرة بمفعول ثلاثي، 100 جم"
4887,5010724519783,"Enamel Strengthening Toothpaste for Sensitive Teeth, 115 ml","معجون أسنان لتقوية مينا الأسنان المصابة بالتحسس، 115 مل"
4888,5010724532041,"Arm & Hammer Charcoal White Toothpaste with Charcoal for Teeth Whitening, 115 ml","معجون أسنان تشاركول وايت معزز بالفحم لتبييض الاسنان، من ارم اند هامر  115 مل"
