product_id,model,name_en,name_ar
5978,085715566027,"Oscar de la Renta perfume 100ml","عطر اوسكار دي لارنتا  100مل"
5979,085715566300,"Oscar de la Renta Bella Bouquet Eau de Parfum - 3.4 oz","عطر أوسكار دي لا رنتا بيلا بوكيه 3.4 أوقية"
5980,3700573800034,"Montana Collection Edition 4 Eau de Parfum 100ml","عطر مونتانا كولكشن إيدشن 4 أو دو برفيوم100مل"
5981,085715569103,"Oscar de la Renta Bella Tropical Eau de Parfum 100ml","عطر أوسكار دي لا رنتا بيلا تروبيكال أو دي بارفان 100 مل"
5982,8034041522728,"CoSTUME NATIONAL I Eau de Parfum 100ml","عطر كوستوم ناشونال اي او دو بارفيوم 100مل"
