product_id,model,name_en,name_ar
5630,3432240026750,"Cartier Baiser Vole for Women - Eau de Parfum, 100ml","عطر   بايسير فولي للنساء  او دو بارفيوم  من  كارتير   100 مل"
5631,3432240031921,"La Panthere Edition for Women Eau de Parfum by Cartier 75 ml","العطر الزهري لا بانثر  أديشن للنساء  او دو بارفيوم  من  كارتير   75 مل"
5632,3432240502605,"La Panthere Limited Edition for Women Eau de Parfum by Cartier 75 ml","العطر الذهبي لا بانثر ليمتد أديشن للنساء  او دو بارفيوم  من  كارتير   75 مل"
5633,3392865441201,"Lady Eau de Parfum by Korloff Paris 88 ml","عطر ليدي  او دو بارفيوم  من  كورلوف باريس   88 مل"
5634,3392865441249,"In White perfume for men Eau de Toilette by Korloff Paris 88 ml","عطر ان وايت للرجال  او دي تواليت من  كورلوف باريس   88 مل"
