product_id,model,name_en,name_ar
3623,8901088137539,"Parachute Gold Hair Cream Offer 140ml 1+1","عرض كريم بارشوت جولد 140مل 1+1"
3624,8901088137546,"Parachute Gold Hair Cream Offer 140ml 1+1","عرض كريم بارشوت جولد 140مل 1+1"
3625,6287033030080,"4-in-1 Derma Roller Skin Care Set - 0.5mm","ديرما رولر 4 في 1 للعناية بالبشرة 0.75 مل | أداة تجديد نضارة البشرة المتكاملة"
3626,791268960037,"Emjoi Opti Mini Shaver for Curved and Small Areas","ماكينة حلاقة اوبتي ميني  للمناطق المنحنية والصغيرة من  إمجوي"
3627,791268970012,"Emjoi EpiMini Shaver for Girls","ماكينة حلاقة ابيميني للبنات من  إمجوي"
