product_id,model,name_en,name_ar
4972,854102006756,"Mielle Organics Rosemary Mint Strengthening Edge Gel - 57g","جل الشعر بإكليل الجبل والنعناع من ميلي اورجانيكس - 57 جم"
4973,8901088150620,"Parachute Extra Virgin Coconut Oil - 200 ml","زيت جوز الهند البكر الممتاز من باراشوت - 200 مل"
4974,9314839018848,"QV Moisturizing Cream - 125g","كريم ترطيب البشره من كيوفي - 125جم"
4975,8901248451222,"Emami 7 Oils in One Hair Oil with Black Seed for Premature Greying - 200ml","زيت شعر للشيب المبكر  مكونه من7 زيوت بحبة البركة من ايمامي 200 مل"
4976,5019091500813,"Akino Skin Whitening Cream 50g","كريم تفتيح  البشرة اكينو 50 جم"
