product_id,model,name_en,name_ar
4910,6852306259453,"Enjoy Precision Razor Set - 3 Pieces","طقم شفرات انجوي للتحديد 3 قطع"
4911,4005808669646,"NIVEA Seaweed Face Wash for Combination Skin - 150ml","غسول للوجه  بالطحالب البحرية للبشرة المختلطة من نيفيا - 150مل"
4912,6281006409569,"Dove Intensive Body Cream, 150 ml","كريم الجسم المركز من دوف، 150 مل"
4913,722510071010,"O'Keeffe's Deep Hydration Lip Balm - 4.2g","بلسم الترطيب العميق  للشفاه من اوكيفس - 4.2 جم"
4914,722510070013,"O'Keeffe's Unscented Lip Repair Balm - 4.2g","بلسم الترطيب للشفاه  بدون عطرمن اوكيفس - 4.2 جم"
