product_id,model,name_en,name_ar
10044,06251106803178,"Nevotic 500 mg 7 Tablets/Pack - Antifungal for the Treatment of Fungal Infections","نيفوتيك 500 ملغ 7 أقراص/علبة مضاد للفطريات يُستخدم لعلاج عدوى الفطريات"
10045,06286059000121,"Lindacyl 300 mg 16 Capsules Antibiotic","لينداسيل 300 مجم 16 كبسولة مضاد حيوي"
10046,06221032112750,"Furazol 250/200 mg 20 Tablets Antibiotic","فيورازول 250/200 مجم 20 قرص مضاد حيوي"
10047,06281080001710,"Clarimac, Clarithromycin 500 mg, Antibiotic - 14 Tablets","كلاريماك، كلاريثرومايسين 500 مجم، مضاد حيوي - 14 قرص"
10048,00771313143691,"Apo-Doxy 100mg 10 Tablets for the Treatment of Various Infections","ابو - دوكسي 100مجم 10 اقراص لعلاج أنواع مختلفة من حالات العدوى"
