product_id,model,name_en,name_ar
1825,3574661558882,"Johnson's Micellar Makeup Remover Wipes for Normal Skin - 25 Wipes","مناديل ميسيلار جونسون لإزالة المكياج للبشرة العادية - 25 منديل"
1826,6287001780009,"Feminine wipes, musk scent, 20 handkerchiefs","مناديل نسائية مبللة برائحة المسك المنعشة للمنطقة الحساسة - 20 منديل"
1827,3600542370271,"Ultra Doux 3-in-1 Repairing Hair Food - 390ml","غارنييه الترا دوكس غذاء الشعر المرمم 3 في 1 بالبابايا - 390 مل"
1828,3600542370110,"Ultra Doux Nourishing 3-in-1 Hair Food 390ml","غذاء الشعر المغذي 3 في 1 بالموز للشعر الجاف من غارنييه الترا دوكس - 390 مل"
1829,3600542370196,"Ultra Doux 3-in-1 Smoothing Hair Food with Coconut and Macadamia for Dry Hair - 390ml","غارنييه الترا دوكس غذاء الشعر المنعم 3 في 1 بجوز الهند والمكاديميا للشعر الجاف 390 مل"
