product_id,model,name_en,name_ar
6104,6253810860638,"Kunuz Natural Laurel Soap 150g","صابون الغار الطبيعي 150 جم من كنوز"
6105,8017834881400,"Diego Dalla Palma Hair Sensitivity and Anti-Dandruff Spray 150ml","دييجو دالا بالما بخاخ لحساسيه الشعر والقشره 150 مل"
6106,3600542402347,"Garnier Micellar Cleansing Water for Sensitive Skin 200 ml","غارنييه ماء ميسيلار منظف للبشرة الحساسة 200 مل"
6107,6976551750456,"Makuku Daily Care Baby Diapers Size (4) Box of 96 Count","ماكوكو حفاضات اطفال العناية اليومية مقاس (4) صندوق 96 حبة"
6108,6976551750432,"Makuku Jumbo Box Diapers Size (3) 108 Diapers","ماكوكو حفايض جامبو بوكس مقاس (3) 108 حفاض"
