product_id,model,name_en,name_ar
4619,3574660463965,"Carefree Unscented Pantyliners - 30 Pieces","فوط بدون عطر من كيرفري 30 قطعة"
4620,6281006409583,"Dove Intensive Body Cream, 250 ml","كريم الجسم المركز من دوف، 250 مل"
4621,6291069201413,"Vatika Olive, Almond and Henna Hot Oil Treatment - 500g","حمام زيت زيتون ولوز وحناء من فاتيكا 500 جم"
4622,6291069704082,"Vatika Naturals Hot Oil Treatment with Egg and Honey - 500g","حمام زيت بخلاصة البيض والعسل من فاتيكا 1000 جم"
4623,6291069744262,"Vatika Egg Enriched Hair Mask 500g","حمام زيت بخلاصة البيض من فاتيكا 500 جم"
