product_id,model,name_en,name_ar
5889,8809416470245,"Cosrx acne clearing patches 24 patches","لاصقات لإزالة حب الشباب من كوسركس 24 رقعة"
5890,4895175201231,"Himalaya Purifying Sheet Mask with Neem and Tea Tree for All Skin Types - 1 Piece","قناع ورقي لتنقية جمبع انواع البشرة بخلاصة النيم وشجرة الشاي من هيمالايا - قطعة واحدة"
5891,8809598451407,"COSRX Cica Calming True Sheet Mask - Single Mask","قناع نبتة السيكا من كوسركس - قناع واحد"
5892,8809517461364,"Nacific Natural Herb Acne and Blemish Clearing Patches - 18 Patches","لصقات الأعشاب الطبيعية لازالة الحبوب والآثار من ناسيفيك 18 لصقة"
5893,6953100415820,"Max Liquid Lip Gloss - 8.5ml","ملمع الشفاه روج سائلمن ماكس 8.5مل"
