product_id,model,name_en,name_ar
4258,3600524079017,"L'Oréal Paris Anti-Hair Fall Serum with Aminexil 102ml","سيروم ضد تساقط الشعر من لوريال باريس مع أمينيكسيل 102 مل"
4259,3600522263685,"Elvive Extra Ordinary Dry Hair Serum and Oil from L'Oreal, 100 ml","سيروم وزيت الشعر الجاف من الفيف اكسترا اورديناري من لوريال 100مل"
4260,8809647392637,"SOME BY MI Retinol Intense Reactivating Mask - 1 Piece","قناع ريتينول للعناية المركزة من سوم باي مي - 1 قطعة"
4261,3337875777759,"La Roche-Posay Effaclar H Iso-Biome Cleansing Cream for Oily and Acne-Prone Skin with Niacinamide - 200ml","غسول منظف ومرطب للبشرة الدهنية والمعرضة لحب الشباب مع النياسيناميد لاروش بوزيه ايفاكلار ايتش ايزوبيوم   ٢٠٠مل"
4262,816820020506,"Argan Oil & Aloe Vera Hydrating Mask 226g","ماسك لترطيب بزيت الارغان والصبار 226جم"
