product_id,model,name_en,name_ar
4531,8809266951017,"Elishacoy Moist Up Collagen Sleeping Mask - 50ml","ماسك النوم بالكولاجين لترطيب البشرة من ايليشاكوي50 مل"
4532,8809266953646,"Elishacoy Hyaluronic Acid Hydrating Face Cream - 50g","كريم الوجه المرطب بحمض الهيالورونيك من ايليشاكوي - 50ج"
4543,4001381881,"Beauty Hair &amp; Nail Vitamins for Women - 60 Chewables","فيتامينات بيوتي للشعر والاظافر للنساء - 60 قطعة قابلة للمضغ"
4544,5029066056207,"Revolution Oil Control Fixing Spray 100ml","بخاخ تثبيت المكياج للتحكم في الزيت من ريفلوشن 100مل"
4545,5029066099730,"Revolution Glow Fix Illuminating Setting Spray 100ml","بخاخ لتثبيت المكياج جلو فيكس المضيء من ريفلوشن 100مل"
