product_id,model,name_en,name_ar
4962,3600541729711,"Garnier Micellar Water to remove makeup for sensitive skin - 400ml","مزيل مكياج  للبشرة الحساسة من غارنيية 400 مل"
4963,8852008000955,"Lotte Xylitol Strawberry & Mint Chewing Gum 29g","علكة لوت زليتول ببنكهة الفرولة والنعناع 29 جم"
4964,733739147882,"NOW Solutions Natural Coconut Oil - 207 ml","زيت جوز الهند الطبيعي من ناو 207 مل"
4965,6287020821578,"Mandi Care Sidr Extract Shower Gel - 500 ml","جل استحمام بخلاصةالسدر  ماندي كير - 500 مل"
4966,6287020821387,"Mandy Care Sidr Shampoo for all hair types - 400 ml","ماندي كير شامبو السدر  لجميع أنواع الشعر - 400 مل"
