product_id,model,name_en,name_ar
2126,8429421403115,"Lakme Color Developer Cream (8.4%) 28 Vol - 120 ml","اوكسجين كريم   (8.4 %) 28 v  من لاكمي 120 مل"
2127,8429421402118,"Lakme Color Developer OXY Cream (5.4%) 18V - 120ml","اوكسجين كريم   (5.4 %) 18 v  من لاكمي 120 مل"
2128,8429421440226,"Lakmé Teknia White Silver Hair Mask for Grey and Ash Tones, 250 ml","قناع الشعر تيكينيا وايت سيلفر معزز للون الرمادي والزيتي من لاكمي، 250 مل"
2129,8429421430043,"Lakme Bio-Argan Shampoo 300ml","شامبو بيو ارجان من لاكمي300مل"
2131,8901526591664,"Garnier Men Shampoo Color (Natural Black)","شامبو وصبغة (اسود طبيعي)للرجال من غارنييه"
