product_id,model,name_en,name_ar
4470,6281112009134,"Wadi Al Nahil Ginger Oil 125 ml","زيت الزنجبيل من وادي النحل 125 مل"
4471,1400300200251,"Wadi Al-Nahl Olive Oil - 125 ml","زيت الزيتون من وادي النحل 125 مل"
4472,1400300200152,"Wadi Al-Nahl Umm Al-Jadayel Hair Oil 125 ml","زيت ام الجدايل من وادي النحل 125 مل"
4473,6932511215557,"Disaar Beauty Sunscreen Cream SPF 90, 40g","كريم واقي شمس  بعامل حماية من اشعة الشمس بدرجة 90 من ديسار بيوتي، 40جم"
4474,6286567005540,"Saco Teeth Cleaning Wipes - 20 Wipes","ساكو مناديل تنظيف الاسنان 20 منديل"
